iter	RMSE
209	3.879430887
210	3.874059121
211	3.868339968
212	3.864389517
213	3.856753788
214	3.851470243
215	3.849017439
216	3.843865505
217	3.839541719
218	3.837025407
219	3.832324467
220	3.824995331
221	3.821257587
222	3.81827645
223	3.815044551
224	3.808758713
225	3.805153645
226	3.799914941
227	3.79695431
228	3.792569883
229	3.788303005
230	3.785500816
231	3.783149653
232	3.777344258
233	3.772277592
234	3.767501232
235	3.763232551
236	3.760016082
237	3.754363732
238	3.749392014
239	3.747104058
240	3.744124466
241	3.738364569
242	3.732976132
243	3.725506191
244	3.72133848
245	3.718806302
246	3.713816454
247	3.708321388
248	3.705029332
249	3.702315954
250	3.696357807
251	3.691346945
252	3.687320603
253	3.683792796
254	3.677483124
255	3.671765486
256	3.665939222
257	3.662231069
258	3.658360385
259	3.654671737
260	3.652557309
261	3.648590741
262	3.639228658
263	3.634480249
264	3.631982622
265	3.629656334
266	3.625746565
267	3.622410016
268	3.615017048
269	3.606328081
270	3.602743549
271	3.600111647
272	3.596261943
273	3.592665945
274	3.585952937
275	3.579438848
276	3.574284962
277	3.572019387
278	3.564855366
279	3.558184596
280	3.554848737
281	3.547038066
282	3.539841204
283	3.533077259
284	3.526366316
285	3.522675942
286	3.519539643
287	3.517632169
288	3.514080668
289	3.510546383
290	3.507941658
291	3.503507061
292	3.501584866
293	3.497810365
294	3.494107638
295	3.491587855
296	3.486243073
297	3.483800614
298	3.478984246
299	3.47536882
300	3.469139863
301	3.463752582
302	3.459418839
303	3.45657308
304	3.454180247
305	3.451495055
306	3.445257995
307	3.438897518
308	3.437854321
309	3.435280783
310	3.430288496
311	3.423905666
312	3.417688956
313	3.414256967
314	3.409383279
315	3.407036846
316	3.403462023
317	3.397628828
318	3.394353738
319	3.392582699
320	3.389424109
321	3.387089179
322	3.381806459
323	3.379077206
324	3.374161795
325	3.368764941
326	3.363808642
327	3.359232537
328	3.356951492
329	3.354626993
330	3.350688519
331	3.347305899
332	3.344533655
333	3.34314924
334	3.34213796
335	3.33777131
336	3.332279508
337	3.326974651
338	3.321924125
339	3.319480523
340	3.316115289
341	3.313854719
342	3.311224742
343	3.305698123
344	3.30321022
345	3.301667928
346	3.296113344
347	3.290504872
348	3.285119421
349	3.282026857
350	3.278944983
351	3.272730596
352	3.2680358
353	3.265532499
354	3.26101526
355	3.259515363
356	3.255933263
357	3.252996472
358	3.249533886
359	3.243811641
360	3.24018951
361	3.238341802
362	3.235148784
363	3.22895029
364	3.226947245
365	3.224486844
366	3.220940076
367	3.215374503
368	3.213743837
369	3.210310521
370	3.208041926
371	3.203930527
372	3.202138712
373	3.200278992
374	3.195394586
375	3.1941203
376	3.19228693
377	3.187829697
378	3.183312888
379	3.178098557
380	3.175454905
381	3.170852119
382	3.166464018
383	3.161541065
384	3.156824099
385	3.152132629
386	3.149249789
387	3.145092733
388	3.14322553
389	3.139759527
390	3.138644575
391	3.135131294
392	3.131734692
393	3.129849498
394	3.125325529
395	3.121439221
396	3.117620067
397	3.113379375
398	3.112583116
399	3.11112284
400	3.107844076
401	3.1040416
402	3.100572735
403	3.09928654
404	3.096912231
405	3.093807462
406	3.092180386
407	3.08755894
408	3.0822772
409	3.079436157
410	3.075804776
411	3.073534063
412	3.069689857
413	3.066895636
414	3.061887199
415	3.059052541
416	3.056228107
417	3.052101658
418	3.051394302
419	3.04968146
420	3.047361159
421	3.043588112
422	3.040307878
423	3.037119861
424	3.033601911
425	3.029703706
426	3.028312563
427	3.026799165
428	3.022724632
429	3.019121145
430	3.015680038
431	3.010847968
432	3.006897965
433	3.006529114
434	3.001573983
435	2.997026242
436	2.994188968
437	2.990850227
438	2.98768638
439	2.98159286
440	2.976471803
441	2.974684994
442	2.970030889
443	2.967701763
444	2.962878035
445	2.960823207
446	2.957384408
447	2.954228663
448	2.950795404
449	2.946720051
450	2.942486479
451	2.939576676
452	2.936009876
453	2.934032925
454	2.928636976
455	2.927654145
456	2.924505065
457	2.921449457
458	2.917229111
459	2.915188301
460	2.913705104
461	2.911305426
462	2.910396048
463	2.909674009
464	2.906691919
465	2.90417601
466	2.899226368
467	2.89564888
468	2.893686353
469	2.89050405
470	2.885725301
471	2.881835464
472	2.880478064
473	2.876848424
474	2.874522813
475	2.873203425
476	2.868996334
477	2.867030427
478	2.862000485
479	2.857872519
480	2.854570829
481	2.851673976
482	2.849881006
483	2.848356353
484	2.846582563
485	2.845972848
486	2.841836286
487	2.836113287
488	2.832856753
489	2.829312295
490	2.827526436
491	2.825478146
492	2.823638003
493	2.820986806
494	2.819773193
495	2.818464826
496	2.814968312
497	2.811903395
498	2.809658517
499	2.806393203
500	2.803565119
501	2.799054828
502	2.796643315
503	2.792738316
504	2.790205758
505	2.788599336
506	2.785221173
507	2.78224448
508	2.780526584
509	2.777726461
510	2.774214382
511	2.770246526
512	2.766336648
513	2.763123234
514	2.760586065
515	2.759145019
516	2.756137176
517	2.753959673
518	2.751924823
519	2.748753595
520	2.747853343
521	2.745305471
522	2.740987103
523	2.738167299
524	2.734005372
525	2.733585369
526	2.730177288
527	2.727408242
528	2.723265605
529	2.720869454
530	2.717399784
531	2.716020439
532	2.71515438
533	2.711448799
534	2.709169148
535	2.706854073
536	2.702770602
537	2.70016231
538	2.696003597
539	2.694477624
540	2.691034571
541	2.688379478
542	2.684240626
543	2.6808191
544	2.678180909
545	2.677047483
546	2.67601161
547	2.67455128
548	2.673193341
549	2.671811419
550	2.669858166
551	2.667175133
552	2.66619621
553	2.663182501
554	2.659889277
555	2.657413128
556	2.654402262
557	2.652149202
558	2.649292607
559	2.647668519
560	2.646122106
561	2.643565771
562	2.641606637
563	2.638127046
564	2.637057985
565	2.634154016
566	2.633470849
567	2.630128585
568	2.626612789
569	2.625330972
570	2.622392992
571	2.620023857
572	2.618438401
573	2.616434062
574	2.61403442
575	2.612420928
576	2.608384983
577	2.607090742
578	2.604495946
579	2.601222129
580	2.599347506
581	2.596882203
582	2.594412042
583	2.593485101
584	2.591499221
585	2.588407341
586	2.586684552
587	2.58395902
588	2.581545362
589	2.578514684
590	2.576269772
591	2.575022217
592	2.573266768
593	2.57074576
594	2.569547317
595	2.566768499
596	2.56547968
597	2.561898717
598	2.560047893
599	2.557910345
600	2.556387824
601	2.553296138
602	2.550468057
603	2.547691952
604	2.545511662
605	2.543910486
606	2.539962993
607	2.537251789
608	2.535827107
609	2.533130944
610	2.532193762
611	2.529879237
612	2.526812217
613	2.523145121
614	2.522423452
615	2.51883536
616	2.517394901
617	2.516211885
618	2.51397743
619	2.511938241
620	2.508512776
621	2.504855292
622	2.50319588
623	2.500769794
624	2.499812493
625	2.498230153
626	2.495472263
627	2.494287307
628	2.492349866
629	2.489607268
630	2.488378984
631	2.484720413
632	2.482988834
633	2.479432925
634	2.47605583
635	2.472873102
636	2.471799084
637	2.469122623
638	2.466707867
639	2.463021551
640	2.460955245
641	2.460570415
642	2.458369669
643	2.45470536
644	2.453376948
645	2.450404543
646	2.448707342
647	2.446500478
648	2.442689733
649	2.439404537
650	2.436969293
651	2.435206153
652	2.432598631
653	2.431475547
654	2.429667913
655	2.42781936
656	2.42457971
657	2.422353296
658	2.41977464
659	2.417088176
660	2.4149182
661	2.412594652
662	2.411136754
663	2.410168183
664	2.407321031
665	2.404789476
666	2.403965739
667	2.401250126
668	2.399075556
669	2.397993403
670	2.394964895
671	2.39361814
672	2.392229056
673	2.391118435
674	2.387881262
675	2.385856695
676	2.384291465
677	2.383674847
678	2.381825576
679	2.37873757
680	2.374729828
681	2.373953669
682	2.372780406
683	2.370819937
684	2.368457979
685	2.365925749
686	2.36441277
687	2.361012252
688	2.359188176
689	2.357834856
690	2.355100613
691	2.352256648
692	2.3492432
693	2.347659203
694	2.345855439
695	2.343758563
696	2.341397722
697	2.339553009
698	2.335887771
699	2.334097972
700	2.333244075
701	2.330480273
702	2.329916508
703	2.326461672
704	2.32365427
705	2.321394637
706	2.320891875
707	2.319542666
708	2.316265678
709	2.311306207
710	2.30749854
711	2.305234485
712	2.302923267
713	2.301492374
714	2.29885665
715	2.296962625
716	2.295418732
717	2.294111727
718	2.292006697
719	2.287565145
720	2.285627743
721	2.284458201
722	2.282318089
723	2.280881699
724	2.276997418
725	2.276298675
726	2.274894874
727	2.272509764
728	2.269654373
729	2.266096329
730	2.26426169
731	2.262778386
732	2.260482182
733	2.257118042
734	2.255394646
735	2.253850158
736	2.251423349
737	2.249407064
738	2.24776679
739	2.247163124
740	2.245575453
741	2.242324588
742	2.241421946
743	2.238952215
744	2.237670142
745	2.233957135
746	2.232385277
747	2.230853534
748	2.229093792
749	2.227120293
750	2.225998908
751	2.224656434
752	2.22314695
753	2.220776602
754	2.219298934
755	2.217593936
756	2.215799722
757	2.214033384
758	2.212114274
759	2.210871141
760	2.210103286
761	2.208258433
762	2.205589518
763	2.203582491
764	2.202947012
765	2.20148692
766	2.199793455
767	2.197782737
768	2.19560463
769	2.193330679
770	2.19222168
771	2.188860394
772	2.187586887
773	2.18548484
774	2.18347575
775	2.181105148
776	2.179496544
777	2.177947028
778	2.176679021
779	2.174133779
780	2.171044932
781	2.16888121
782	2.167336277
783	2.164505904
784	2.161198724
785	2.15932885
786	2.15805714
787	2.157673576
788	2.15680821
789	2.15504703
790	2.153670477
791	2.151390308
792	2.150392301
793	2.149203088
794	2.14588901
795	2.14425852
796	2.14331506
797	2.140208758
798	2.139048923
799	2.137907547
800	2.135157388
801	2.132891005
802	2.13002594
803	2.128126012
804	2.127381084
805	2.126841965
806	2.123370987
807	2.122744283
808	2.120839648
809	2.118905547
810	2.116194633
811	2.114743822
812	2.113137895
813	2.112486787
814	2.111114797
815	2.109619362
816	2.106572126
817	2.105154151
818	2.103208731
819	2.100533881
820	2.098459984
821	2.096987016
822	2.093981755
823	2.092029771
824	2.090595761
825	2.089799279
826	2.089343509
827	2.088796461
828	2.084450443
829	2.082808015
830	2.080819485
831	2.080227653
832	2.078794956
833	2.07706911
834	2.074279345
835	2.073717814
836	2.070889311
837	2.069263834
838	2.067852325
839	2.064444063
840	2.062193255
841	2.059989564
842	2.058673189
843	2.058274792
844	2.056609336
845	2.054816487
846	2.052979961
847	2.050830834
848	2.047856762
849	2.045986908
850	2.04443668
851	2.042780299
852	2.041262046
853	2.040085119
854	2.038944937
855	2.037615631
856	2.036935788
857	2.03589152
858	2.035329407
859	2.033897421
860	2.03338745
861	2.031877483
862	2.0298916
863	2.028359427
864	2.025478635
865	2.023235829
866	2.021101392
867	2.019625606
868	2.01788128
869	2.01643791
870	2.014946053
871	2.013005335
872	2.011945221
873	2.009122363
874	2.007238958
875	2.005947129
876	2.003467057
877	2.002198101
878	2.00164407
879	2.00003315
880	1.99809
881	1.99663105
882	1.9957318
883	1.993990253
884	1.993042705
885	1.99060142
886	1.98928326
887	1.988248113
888	1.986819261
889	1.985798365
890	1.985296618
891	1.982659715
892	1.98222928
893	1.980584414
894	1.977768086
895	1.976015163
896	1.974343522
897	1.971282016
898	1.969295781
899	1.968296277
900	1.967633593
901	1.966858413
902	1.965628023
903	1.963885824
904	1.961153686
905	1.959219732
906	1.956489285
907	1.95571383
908	1.954798276
909	1.953855909
910	1.952250513
911	1.9510816
912	1.949631055
913	1.948666404
914	1.947532645
915	1.945716747
916	1.944725364
917	1.944078896
918	1.943572609
919	1.943336398
920	1.941876627
921	1.938557228
922	1.936659609
923	1.933880575
924	1.932656405
925	1.930447367
926	1.929251895
927	1.92814319
928	1.926721255
929	1.924513071
930	1.922351343
931	1.921477759
932	1.920267188
933	1.918868251
934	1.916639306
935	1.914741711
936	1.913154045
937	1.910970761
938	1.909824116
939	1.908451751
940	1.907460192
941	1.90545669
942	1.904104982
943	1.903019862
944	1.901124173
945	1.899984219
946	1.897877419
947	1.896861089
948	1.894733496
949	1.893256012
950	1.891144419
951	1.888821442
952	1.888638465
953	1.887896358
954	1.885563174
955	1.884957544
956	1.883675591
957	1.883038298
958	1.881727989
959	1.880386282
960	1.879355909
961	1.878124024
962	1.875044288
963	1.872546964
964	1.871535704
965	1.870694143
966	1.869382886
967	1.867925306
968	1.866316846
969	1.864705781
970	1.862350228
971	1.860315285
972	1.858944817
973	1.858480859
974	1.857223505
975	1.85589872
976	1.854151008
977	1.852240688
978	1.851431663
979	1.85016743
980	1.848782153
981	1.847586678
982	1.847068267
983	1.845633254
984	1.844469076
985	1.843910167
986	1.841750715
987	1.840546316
988	1.838833856
989	1.836776583
990	1.835872991
991	1.833782602
992	1.832481133
993	1.831368625
994	1.830129851
995	1.828896593
996	1.827689892
997	1.826453014
998	1.825171926
999	1.823728476
